meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id
Prix de l'innovation,,2017,juin,,,L'Acharnière,,Film Festival,,Lille,France,"I made you, I kill you",Petru Badelita,Alexandru,658.0,L'Acharnière,,L'Acharnière,1606.0,200.0
Prix de la mise en scène,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Reinsende auf einem bein,Petru Badelita,Alexandru,569.0,L'Acharnière,,L'Acharnière,1607.0,200.0
Prix de l'innovation,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Cuisine américaine,Pluvinage,Justine,570.0,L'Acharnière,,L'Acharnière,1607.0,200.0
CER des cheminots du Nord-pas -de-Calais,,2011,juin,,,L'Acharnière,,Film Festival,,Lille,France,Toujours moins,Moullet,Luc,375.0,L'Acharnière,,L'Acharnière,1608.0,200.0
Grand Prix,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284.0,L'Acharnière,,L'Acharnière,1609.0,200.0
Prix CER des cheminots,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284.0,L'Acharnière,,L'Acharnière,1609.0,200.0
Prix de l'institut des sciences et techniques de Valenciennes,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250.0,L'Acharnière,,L'Acharnière,1610.0,200.0
Prix jeunes taletns,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250.0,L'Acharnière,,L'Acharnière,1610.0,200.0
Prix de l'innovation,,2008,,,,L'Acharnière,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212.0,L'Acharnière,,L'Acharnière,1611.0,200.0
Prix de l'INA,,2005,,,,L'Acharnière,,Film Festival,,Lille,France,Japon : un pays lointain,Yabuki,Takako,,L'Acharnière,,L'Acharnière,1612.0,200.0
Meilleur montage,,2003,,,,L'Acharnière,,Film Festival,,Lille,France,Courant d'air,Martirosyan,Nora,,L'Acharnière,,L'Acharnière,1613.0,200.0
Mention spéciale,,2007,,,,L'Alternativa,,Film Festival,,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212.0,L'Alternativa,,L'Alternativa,1615.0,48.0
Prix du Jury,,2016,septembre,,,La Nuit de l'Instant,,Multimedia festival,,Marseille,France,Le Park,Maroufi,Randa,16.0,La Nuit de l'Instant,,La Nuit de l'Instant,1617.0,42.0
Coup de cœur du jury,,2010,novembre,,,Le Réel en vue,,Film Festival,,Thionville,France,Plastic and Glass,Joosse,Tessa,284.0,Le Réel en vue,,Le Réel en vue,1619.0,290.0
Meilleur film,,2009,septembre,,,Lebanese,,Film Festival,,Beyrouth,Liban,Un instant mon glamour,Abu Shaqra,Shirin,277.0,Lebanese,,Lebanese,1621.0,291.0
Mention spéciale du jury,,2008,,,,Les écrans documentaires,,Film Festival,,Arcueil,France,Under Construction,Liu,Zhenchen,212.0,Les écrans documentaires,,Les écrans documentaires,1623.0,171.0
Prix du jury presse,,2014,octobre,,,Les Enfants terribles,,Film Festival,,Huy,Belgique,Tehran-Geles,Nassiri,Arash,29.0,Les Enfants terribles,,Les Enfants terribles,1625.0,292.0
Best short film,,2019,,11/13/20,11/24/20,LIFF,,Film Festival,,Llubjana,Slovénie,Last year when the train passed by,Huang,Pang-Chuan,838.0,LIFF,,LIFF,1627.0,293.0
Best international short film,,2018,,01/11/20,01/20/20,London Short,,Short Film Festival,,Londres,Royaume-Unis,Retour,Huang,Pang-Chuan,764.0,London Short,,London Short,1629.0,294.0
Meilleur court-métrage,,2004,,,,Luso-brésilien,,Film Festival,,Santa-Maria da Feira,Portugal,Copan,Spinelli,Bernardo,,Luso-brésilien,,Luso-brésilien,1631.0,295.0
Prix du jury,court-métrage,2007,,,,Lyon Asian,,Film Festival,,Lyon,France,Under Construction,Liu,Zhenchen,212.0,Lyon Asian,,Lyon Asian,1633.0,56.0
Best visual-aural interaction,,2011,,,,Madatac,,Film Festival,,Madrid,Espagne,Phone Tapping,Won Lee,Hee,286.0,Madatac,,Madatac,1635.0,78.0
Prix Transfera video art,,2009,avril,,,Madatac,,Film Festival,,Madrid,Espagne,Coagulate,Grecu,Mihai,224.0,Madatac,,Madatac,1636.0,78.0
Prix OVNI,,2010,,,,Média festival,,Film Festival,,Namur,Belgique,Vous êtes vous déjà fait piquer par une abeille morte,Rubin,Jonathan,231.0,Média festival,,Média festival,1638.0,70.0
Second Pirx,,2010,fevrier,,,Médiacity,,Multimedia festival,,Ontario,Canada,Atlantiques,Diop,Mati,282.0,Médiacity,,Médiacity,1640.0,296.0
Diploma of merit,,2009,,,,Mediaschool,,Prix annuel,,Lodz,Pologne,Plastic and Glass,Joosse,Tessa,284.0,Mediaschool,,Mediaschool,1642.0,297.0
Diploma of merit,,2008,,,,Mediaschool,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253.0,Mediaschool,,Mediaschool,1643.0,269.0
RMIT University award,experimental short film,2015,aout,,,Melbourne,,Film Festival,,Melbourne,Australie,Tehran-Geles,Nassiri,Arash,29.0,Melbourne,,Melbourne,1645.0,141.0
Mention spéciale du jury,,2016,septembre,,,Message to man,,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra,Pagliai,Isabel,574.0,Message to man,,Message to man,1647.0,298.0
Mention spéciale du jury,,2012,octobre,,,Milan,,Film Festival,,Milan,Italie,Fireworks,Abbruzzese,Giacomo,380.0,Milan,,Milan,1649.0,127.0
Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842.0,Minimalen,,Minimalen,1651.0,211.0
Mention spéciale du jury,,2009,,,,MiradasDoc,,Film Festival,,Guia de Isora,Espagne,Under Construction,Liu,Zhenchen,212.0,MiradasDoc,,MiradasDoc,1653.0,299.0
Grand prix du public,,2017,mars,,,Monde en images,,Film Festival,,Cucuron,France,Les habitants du vent,Sarabi,Abtin,562.0,Monde en images,,Monde en images,1655.0,300.0
Young talent award,,2013,juin,,,Munich,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Munich,,Munich,1657.0,163.0
Best experimental film,,2008,,,,Naoussa,,Film Festival,,Naoussa,Grèce,Under Construction,Liu,Zhenchen,212.0,Naoussa,,Naoussa,1659.0,153.0
Mention spéciale du jury,,2008,,,,Non-Budget,,Film Festival,,,Cuba,Under Construction,Liu,Zhenchen,212.0,Non-Budget,,Non-Budget,1661.0,301.0
"Mention honorable, meilleur court-métrage documentaire",,2019,,06/12/20,06/16/20,Norwegian,,Short Film Festival,,Grimstad,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842.0,Norwegian,,Norwegian,1663.0,132.0
Silver Scales Award (best direction),,2003,,,,Novo Mesto,,Short Film Festival,,Novo Mesto,Slovénie,Vide pour l'amour,Jayasundera,Vimukthi,,Novo Mesto,,Novo Mesto,1665.0,302.0
Prix de la ville,,2011,mai,,,Oberhausen,,Film Festival,,Oberhausen,Allemagne,Sans titre,Beloufa,Neil,332.0,Oberhausen,Oberhausen,Oberhausen,1666.0,117.0
Artistic contribution award,,2014,juin,,,Olhar de Cinema,,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ?,Williams,Eduardo,524.0,Olhar de Cinema,,Olhar de Cinema,1668.0,303.0
Grand Prix,,2010,octobre,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Planet A,Seto,Momoko,256.0,Oslo Screen,,Oslo Screen,1670.0,304.0
Best video,,2008,,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Coagulate,Grecu,Mihai,224.0,Oslo Screen,,Oslo Screen,1671.0,304.0
Mention spéciale,,2008,,,,Ourense,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212.0,Ourense,,Ourense,1673.0,245.0
Meilleur court métrage,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497.0,PAFF,,PAFF,1675.0,305.0
Meilleure actrice,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497.0,PAFF,,PAFF,1675.0,305.0
Meilleur court-métrage,,2015,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,"Archipels, granites dénudées",Hérétakis,Daphné,12.0,PAFF,,PAFF,1676.0,305.0
Mention spéciale du jury,,2017,juin,,,Palm Spring,,Film Festival,,Palm Spring,Etats-Unis,"I made you, I kill you",Petru Badelita,Alexandru,658.0,Palm Spring,Palm Springs,Palm Springs,1677.0,306.0
Best student short (deuxième),,2014,mars,,,Palm Springs,,Short Film Festival,,Palm Springs,Etats-Unis,Gli immacolati,Trocker,Ronny,522.0,Palm Springs,Palm Springs,Palm Springs,1678.0,126.0
Prix du jury,,2009,mars,,,Panorama du cinéma du Maghreb,,Film Festival,,Saint-Denis,France,Abena,El Kamel,Amel,240.0,Panorama du cinéma du Maghreb,,Panorama du cinéma du Maghreb,1680.0,307.0
Prix spécial du jury,première création,2014,janvier,,,Pointdoc,,International Documentary Film Festival,,,Espagne,La mariée,Curtz,Joël,476.0,Pointdoc,,Pointdoc,1682.0,245.0
Grand Prix,,2018,,11/29/20,12/06/20,Poitiers,,Film Festival,,Poitiers,France,All movements should kill the wind,Wang,Yuyan,1211.0,Poitiers,,Poitiers,1684.0,44.0
Prix du jury lycéen,,2014,décembre,,,Poitiers,,Film Festival,,Poitiers,France,Tehran-Geles,Nassiri,Arash,29.0,Poitiers,,Poitiers,1685.0,44.0
Mention spéciale du jury,,2004,,,,Premières fois,,Film Festival,,Grasse,France,A l'ami imaginé,Pernot,Laurent,,Premières fois,,Premières fois,1687.0,308.0
Prix des étudiants d'Angers,,2012,janvier,,,Premiers plans,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380.0,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,1689.0,309.0
Grand prix du jury,,2006,,,,Premiers plans,,Film Festival,,Angers,France,La Plaine,Edzard,Roland,,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,1690.0,16.0
Prix Edward Steichen,,2009,,,,Prix Edward Steichen,,Prix annuel,,,Luxembourg,Carrière complète,Bak,Bertille,,Prix Edward Steichen,,Prix Edward Steichen,1692.0,310.0
Prix Médiatine,,2012,,,,Prix Médiatine,,Prix annuel,Centre Wallonie Bruxelles,Bruxelles,Belgique,Cabinet d'affects,Van der Auwera,Emmanuel,372.0,Prix Médiatine,,Prix Médiatine,1694.0,28.0
Grand Prix meilleur film,,2019,,03/11/20,03/16/20,Punto de Vista,,International Documentary Film Festival,,Pampelune,Espagne,Una Luna de hierro,Rodriguez,Francisco,785.0,Punto de Vista,,Punto de Vista,1696.0,311.0
Meilleur film,,2015,mars,,,Punto de Vista,,Film Festival,,Pampelune,Espagne,Echo chamber,Moncayo,Guillermo,17.0,Punto de Vista,,Punto de Vista,1697.0,311.0
Best Film,My shorts competion,2019,,09/20/20,09/28/20,Queer Lisboa,,,,Lisbonne,Portugal,Constanza,Liebenthal,Melisa,844.0,Queer Lisboa,,Queer Lisboa,1699.0,286.0
Meilleure fiction,,2012,avril,,,Recontres cinéma-nature,,Film Festival,,Dompierre-sur-Besbre,France,Fireworks,Abbruzzese,Giacomo,380.0,Recontres cinéma-nature,,Recontres cinéma-nature,1701.0,312.0
Prix des cinéphiles,,2013,mai,,,Recontres cinématographiques,,Film Festival,,Digne-les-Bains,France,Jeanne,Reymond,Dania,464.0,Recontres cinématographiques,,Recontres cinématographiques,1703.0,313.0
Mention spéciale du jury,documentaire,2019,,03/13/20,03/17/20,Regard,,Film Festival,,Saguenay,Canada,Swatted,Joffroy Chandoutis,Ismaël,842.0,Regard,Regard,Regard,1704.0,108.0
Prix spécial du jury,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,Gli immacolati,Trocker,Ronny,522.0,Regards au Longs-Courts,,Regards au Longs-Courts,1706.0,144.0
Prix du public,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,La mariée,Curtz,Joël,476.0,Regards au Longs-Courts,,Regards au Longs-Courts,1706.0,144.0
Prix de la ville de Regensburg,,2018,,,,Regensburg,,Film Festival,,Regensburg,Allemagne,Ondes noires,Joffroy Chandoutis,Ismaël,770.0,Regensburg,,Regensburg,1708.0,314.0
Prix Découverte,,2007,,,,Rencontres d'Arles,,photography festival,,Arles,France,,Henno,Laura,,Rencontres d'Arles,,Rencontres d'Arles,1710.0,76.0
Second prix,premiers films documentaire,2018,,03/14/20,03/20/20,Rencontres du cinéma européen,,Film Festival,,Vannes,France,Retour,Huang,Pang-Chuan,764.0,Rencontres du cinéma européen,,Rencontres du cinéma européen,1712.0,315.0
Prix du jury étudiant,,2008,,,,Rencontres Henri Langlois,,Film Festival,,Poitiers,France,Brises,Ramirez,Enrique,238.0,Rencontres Henri Langlois,,Rencontres Henri Langlois,1714.0,44.0
Mention spéciale photographie,,2006,,,,Rencontres internationales Henri Langlois,,Film Festival,,Poitiers,France,Yeux,Edzard,Roland,75.0,Rencontres internationales Henri Langlois,,Rencontres internationales Henri Langlois,1716.0,44.0
Meilleur court-métrage,,2014,mars,,,Rencontres internationales sciences et cinéma,,Film Festival,,Marseille,France,Tehran-Geles,Nassiri,Arash,29.0,Rencontres internationales sciences et cinéma,Rencontres Internationales Sciences Et CinéMas,Rencontres Internationales Sciences Et CinéMas,1717.0,42.0
Meilleur court-métrage,,2016,janvier,,,RIDM,,International Documentary Film Festival,,Montréal,Canada,Isabella Morra,Pagliai,Isabel,574.0,RIDM,,RIDM,1719.0,316.0
Best short documentary,,2019,,04/10/20,04/14/20,Rincon,,International Film Festival,,Rincon,Porto Rico,Swatted,Joffroy Chandoutis,Ismaël,842.0,Rincon,,Rincon,1721.0,317.0
Mention spéciale du jury,,2017,mars,,,RISC,,Film Festival,,Marseille,France,Ciudad Maya,Padilla Domene,Andrès,680.0,RISC,,RISC,1723.0,42.0
Grand Prix,,2016,novembre,,,RISC,,Film Festival,,Marseille,France,"I made you, I kill you",Petru Badelita,Alexandru,658.0,RISC,,RISC,1724.0,42.0
Meilleur film expérimental,,2012,octobre,,,Riviera Maya Underground,,Film Festival,,Playa del Carmen,Mexique,"La Bibliothèque, la nuit",Vieira Torres,Joao,410.0,Riviera Maya Underground,,Riviera Maya Underground,1726.0,318.0
Mention spécial,,2016,janvier-février,,,Rotterdam,,Film Festival,,Rotterdam,Pays-Bas,Le Park,Maroufi,Randa,16.0,Rotterdam,,Rotterdam,1728.0,14.0
Tiger Short Award,,2010,février,,,Rotterdam,,Film Festival,,Rotterdam,Pays-Bas,Atlantiques,Diop,Mati,282.0,Rotterdam,,Rotterdam,1729.0,14.0
Mention spéciale EcoFilm,,2016,septembre,,,Rural Film Fest,,Film Festival,,El Eden de la Mancha,Espagne,Focus on infinity,Lavenne,Mathilde,584.0,Rural Film Fest,,Rural Film Fest,1731.0,319.0
Meilleur réalisateur,cinéma chilien,2010,,,,SANFIC,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278.0,SANFIC,,SANFIC,1733.0,215.0
Mention honorifique,,2012,,,,Santa Maria da Feira,,Film Festival,,,Brésil,Version française,Da-Rin,Maya,411.0,Santa Maria da Feira,,Santa Maria da Feira,1735.0,320.0
Best experimental work,,2010,octobre,,,Santa-Cruz,,Film Festival,,Santa-Cruz,Etats-Unis,Plastic and Glass,Joosse,Tessa,284.0,Santa-Cruz,,Santa-Cruz,1737.0,321.0
Best documentary,,2007,,,,Santiago,,Short Film Festival,,Santiago,Chili,Under Construction,Liu,Zhenchen,212.0,Santiago,,Santiago,1739.0,215.0
Best short film,,2007,,,,Sao Paulo,,Short Film Festival,,Sao Paulo,Brésil,Under Construction,Liu,Zhenchen,212.0,Sao Paulo,,Sao Paulo,1741.0,136.0
Best documentary,,2019,,10/16/20,10/20/20,Sapporo,,Short Film Festival,,Sapporo,Japon,Swatted,Joffroy Chandoutis,Ismaël,842.0,Sapporo,,Sapporo,1743.0,121.0
Best experimental film,,2008,,,,Sapporo,,Short Film Festival,,Sapporo,Japon,Under Construction,Liu,Zhenchen,212.0,Sapporo,,Sapporo,1744.0,121.0
Prix Emergences,,2019,,01/19/20,01/19/20,Scam*,Open Factory,Gala,Cent-Quatre,Paris,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Scam*,,Scam*,1746.0,18.0
Prix jeune talent numérique,,2015,janvier,,,Scam*,Arte,Gala,Cent-Quatre,Paris,France,Cuisine américaine,Pluvinage,Justine,570.0,Scam*,,Scam*,1747.0,18.0
Prix jeune talent numérique,,2015,janvier,,,Scam*,Arte,Gala,Cent-Quatre,Paris,France,Howto,Caravella,Elisabeth,4.0,Scam*,,Scam*,1747.0,18.0
Prix jeune talent numérique,,2014,janvier,,,Scam*,,Gala,Cent-Quatre,Paris,France,Gli immacolati,Trocker,Ronny,522.0,Scam*,,Scam*,1748.0,18.0
Prix de l'œuvre numérique,,2012,,,,Scam*,,Gala,,Paris,France,Manque de preuves,Kwon,Hayoun,396.0,Scam*,,Scam*,1749.0,18.0
Renard d'argent,,2014,février,,,Semaine du cinéma du bureau des Arts de Science Po,,Film Festival,,Paris,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509.0,Semaine du cinéma du bureau des Arts de Science Po,,Semaine du cinéma du bureau des Arts de Science Po,1751.0,18.0
Exis Award,,2009,juillet,,,Seoul,,Experimental Film Festival,,Seoul,Corée du Sud,Coagulate,Grecu,Mihai,224.0,Seoul,,Seoul,1753.0,322.0
Igong - new artist,,2014,janvier,,,Seoul media,,Multimedia festival,,Séoul,Corée du Sud,Gli immacolati,Trocker,Ronny,522.0,Seoul media,,Seoul media,1755.0,241.0
Prix spécial du jury,,2006,,,,Short shorts,,Film Festival,,Tokyo,Japon,Resonance of tears,Watanabe,Atsuhiko,,Short shorts,,Short shorts,1757.0,29.0
Meilleur court-métrage,,2016,,,,Short the point,,Film Festival,,,Roumanie,Isabella Morra,Pagliai,Isabel,574.0,Short the point,,Short the point,1759.0,323.0
Prix de la danse avec caméra,,2017,,03/21/20,03/26/20,Short Waves,,Short Film Festival,,Poznan,Pologne,Tact,Le Maguer,Thibaud,676.0,Short Waves,Short Waves,Short Waves,1760.0,100.0
Mention honorable,Urban View,2016,mars,,,Short Waves,,Short Film Festival,,Poznan,Pologne,Le Park,Maroufi,Randa,16.0,Short Waves,Short Waves,Short Waves,1761.0,100.0
best student film,experimental,2016,mai-juin,,,ShortCut,,Short Film Festival,,Bucarest,Roumanie,Laughter far away,Golder,Ewan,669.0,ShortCut,,ShortCut,1763.0,97.0
Edward Snowden Award,,2019,,06/22/20,06/30/20,Signes de Nuit,,Film Festival,,,Thailande,Swatted,Joffroy Chandoutis,Ismaël,842.0,Signes de Nuit,,Signes de Nuit,1765.0,324.0
Mention spéciale,,2008,,,,Sleepwalkers,,Short Film Festival,,,Estonie,Coagulate,Grecu,Mihai,224.0,Sleepwalkers,Sleepwalkers,Sleepwalkers,1766.0,325.0
Best documentary,,2019,,09/06/20,09/09/20,Smalls,,Film Festival,,Londres,Royaume-Unis,Swatted,Joffroy Chandoutis,Ismaël,842.0,Smalls,,Smalls,1768.0,294.0
Grand prix nouveau média,,2004,,,,Split,,Multimedia festival,,Split,Croatie,Shimmy shimmy grass,Dimnet,Morgan,,Split,,Split,1770.0,154.0
Best experimental film award,,2004,,,,Strange Screen,,Film Festival,,Thessalonique,Grèce,Plus tard,,,,Strange Screen,,Strange Screen,1772.0,52.0
Best Film,,2020,,01/16/20,01/19/20,Stuttgarter film winter,,Film Festival,,Stuttgart,Allemagne,Omarska,Sasindran,Varun,855.0,Stuttgarter film winter,Stuttgarter Filmwinter,Stuttgarter Filmwinter,1773.0,93.0
Mention spéciale,,2011,juillet,,,Summer Corto café Festival,,Film Festival,,Tarente,Italie,La mécanique de la grive,Piccino,Rossellla,348.0,Summer Corto café Festival,,Summer Corto café Festival,1775.0,326.0
Prix Doc Lounge,documentaire,2019,,03/13/20,03/17/20,Sundsvall Film Fest,,Film Festival,,Sundsvall,Suède,Swatted,Joffroy Chandoutis,Ismaël,842.0,Sundsvall Film Fest,,Sundsvall Film Fest,1777.0,327.0
Mention spéciale meilleur montage,,2009,octobre,,,Sur les pas de mon oncle,,Film Festival,,Saint-Maur,France,Un Château en mer,Pfander,Barbel,253.0,Sur les pas de mon oncle,,Sur les pas de mon oncle,1779.0,328.0
New Amerika price,,2014,juin,,,Szczecin European,,Film Festival,,Szczecin,Pologne,Gli immacolati,Trocker,Ronny,522.0,Szczecin European,,Szczecin European,1781.0,329.0
meilleur film expérimental,,2016,juillet,,,Tabor,,Film Festival,Châeau de Tabor,Tabor,Croatie,Le Park,Maroufi,Randa,16.0,Tabor,,Tabor,1783.0,330.0
Diploma of merit,,2009,mars,,,Tampere,,Film Festival,,,Finlande,Planet A,Seto,Momoko,256.0,Tampere,Tampere,Tampere,1784.0,331.0
1er prix,,2010,,,,Télésorbonne,,Film Festival,,Paris,France,Plastic and Glass,Joosse,Tessa,284.0,Télésorbonne,,Télésorbonne,1786.0,18.0
"Mention spéciale, prix lycéen",,2010,mars,,,Terra du Cinéma,,Film Festival,,Tremblay,France,La mécanique de la grive,Piccino,Rossellla,348.0,Terra du Cinéma,,Terra du Cinéma,1788.0,309.0
Prix du jury professionnel,,2012,mars,,,Terra du Cinéma,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380.0,Terra du Cinéma,,Terra du Cinéma,1789.0,309.0
Mention spéciale du jury,,2018,,02/15/20,06/02/20,TIDF,,International Documentary Film Festival,,Taipei,Taïwan,Retour,Huang,Pang-Chuan,764.0,TIDF,,TIDF,1791.0,332.0
Meilleur court-métrage,,2016,juillet,,,Toko Film,,Film Festival,,,Italie,Le Park,Maroufi,Randa,16.0,Toko Film,,Toko Film,1793.0,279.0
Excellence Award,,2009,,,,Tokyo Video,,Film Festival,,Tokyo,Japon,Under Construction,Liu,Zhenchen,212.0,Tokyo Video,,Tokyo Video,1795.0,29.0
Best short film,,2012,novembre,,,Toronto Reel Asian,,Film Festival,,Toronto,Canada,Manque de preuves,Kwon,Hayoun,396.0,Toronto Reel Asian,,Toronto Reel Asian,1797.0,86.0
Prix du jury,,2007,,,,TRUNK,,Film Festival,,,Suède,Under Construction,Liu,Zhenchen,212.0,TRUNK,,TRUNK,1799.0,333.0
Meilleur film,italiana corti,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327.0,Turin,,Turin,1801.0,334.0
Premio Avanti,,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327.0,Turin,,Turin,1801.0,334.0
Mention spéciale pour la direction artisitique,,2007,,,,Unimovie,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212.0,Unimovie,,Unimovie,1803.0,279.0
Meilleur court-métrage,,2010,décembre,,,Valpolicella,,Film Festival,,San Pietro in Cariano,Italie,La mécanique de la grive,Piccino,Rossellla,348.0,Valpolicella,,Valpolicella,1805.0,335.0
Prix spécial du jury,,2008,,,,Vendôme,,Film Festival,,Vendôme,France,Visités,Cogitore,Clément,220.0,Vendôme,,Vendôme,1807.0,336.0
Videobrasil residency price,,2014,,,,Videobrasil,association,Prix annuel,,Sao Paulo,Brésil,Tomo,Diallo,Bakary,442.0,Videobrasil,,Videobrasil,1809.0,136.0
Prix du jury professionnel,,2019,,03/14/20,03/17/20,Vidéoformes,,Multimedia festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842.0,Vidéoformes,,Vidéoformes,1811.0,58.0
Prix université Blaise Pascal,,2015,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Tehran-Geles,Nassiri,Arash,29.0,Vidéoformes,,Vidéoformes,1812.0,58.0
Coup de cœur Arte creative,,2014,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Darakchiev,Jivko,Fuite,489.0,Vidéoformes,,Vidéoformes,1813.0,58.0
Prix de la Ville,,2013,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Sing-Under,Seo,Jung-Hee,467.0,Vidéoformes,,Vidéoformes,1814.0,58.0
Grand Prix,,2012,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Deuxième bureau,Bao,Lixin,383.0,Vidéoformes,,Vidéoformes,1815.0,58.0
Mention spéciale du jury,,2009,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Coagulate,Grecu,Mihai,224.0,Vidéoformes,,Vidéoformes,1816.0,58.0
Prix de la création vidéo,,2008,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Unlith,Grecu,Mihai,198.0,Vidéoformes,,Vidéoformes,1817.0,58.0
Prix IUP multisupports de l'Université Blaise Pascal,,2006,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Ligne Verte,Mareshal,Laurent,72.0,Vidéoformes,,Vidéoformes,1818.0,58.0
"Prix IUP métiers du livre et multisupport, Université Blaise Pascal",,2005,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Compétent dans sa branche,Bosson,Olivier,,Vidéoformes,,Vidéoformes,1819.0,58.0
2 ème prix Création vidéo,,2004,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Bufferzone,Najari,Samer,,Vidéoformes,,Vidéoformes,1820.0,58.0
Grand Prix,,2010,novembre,,,Vidéogr@phie[s],,Film Festival,,Liège,Belgique,Phone Tapping,Won Lee,Hee,286.0,Vidéogr@phie[s],,Vidéogr@phie[s],1822.0,337.0
Videonale Award,fluentum collection,2017,fevrier,,,Videonale,,Film Festival,,Bonn,Allemagne,Le Park,Maroufi,Randa,16.0,Videonale,,Videonale,1824.0,338.0
1er prix,,2009,mars,,,Vidéorformes,,Film Festival,,Clermont-Ferrand,France,Naufrage,Durand,Clorinde,254.0,Vidéorformes,,Vidéorformes,1826.0,58.0
Grand Prix fiction,,2003,,,,Vila do Conde,,Film Festival,,Vila do Conde,Portugal,Le pont n'est plus là,Ming-Liang,Tsaï,,Vila do Conde,,Vila do Conde,1828.0,339.0
Meilleur court-métrage,jury étudiant,2018,,10/02/20,10/07/20,War on screen,,Film Festival,,Châlon-en-Champagne,France,Retour,Huang,Pang-Chuan,764.0,War on screen,,War on screen,1830.0,340.0
New Talent (seconde position),,2019,,10/23/20,10/27/20,Wiesbaden,,International Animation Festival,,Wiesbaden,Allemagne,Swatted,Joffroy Chandoutis,Ismaël,842.0,Wiesbaden,,Wiesbaden,1832.0,341.0
Mention honorable,,2017,mai,,,Vidéo Brasil,,Film Festival,,Sao Paulo,Brésil,Ciudad Maya,Padilla Domene,Andrès,680.0,,,,1834.0,136.0
